name,month_and_day,segment,call,current_price,date,symbol
Schlumberger (SLB),01/03,D,buy,40.56,2020-01-03,SLB
Lam Research (LRCX),01/03,D,buy,294.69,2020-01-03,LRCX
Luckin Coffee (LK),01/03,L,negative,36.72,2020-01-03,LK
Lennar (LEN),01/03,D,buy,56.47,2020-01-03,LEN
KLA Corp (KLAC),01/03,D,buy,179.08,2020-01-03,KLAC
KB Home (KBH),01/03,D,buy,34.91,2020-01-03,KBH
JPMorgan Chase (JPM),01/03,D,buy,138.34,2020-01-03,JPM
Home Depot (HD),01/03,D,buy,218.93,2020-01-03,HD
Goldman Sachs (GS),01/03,D,buy,231.58,2020-01-03,GS
Walt Disney (DIS),01/03,D,buy,146.5,2020-01-03,DIS
Microsoft (MSFT),01/03,D,buy,158.62,2020-01-03,MSFT
CVS Health (CVS),01/03,D,buy,73.57,2020-01-03,CVS
Costco (COST),01/03,D,buy,291.73,2020-01-03,COST
Chipotle Mexican Grill (CMG),01/03,D,buy,865.13,2020-01-03,CMG
Apple (AAPL),01/03,D,buy,297.43,2020-01-03,AAPL
AGNC Investment (AGNC),01/03,L,negative,17.73,2020-01-03,AGNC
Advanced Micro Devices (AMD),01/03,D,buy,48.6,2020-01-03,AMD
American Express (AXP),01/03,D,buy,124.6,2020-01-03,AXP
Boeing (BA),01/03,D,negative,332.76,2020-01-03,BA
Alibaba (BABA),01/03,L,buy,217.0,2020-01-03,BABA
Bed Bath & Beyond (BBBY),01/03,D,positive,16.08,2020-01-03,BBBY
CrowdStrike (CRWD),01/03,I,buy,50.75,2020-01-03,CRWD
BP (BP),01/03,D,buy,38.83,2020-01-03,BP
Canopy Growth (CGC),01/03,D,negative,19.9,2020-01-03,CGC
Walmart (WMT),01/03,D,buy,117.89,2020-01-03,WMT
Wendy's (WEN),01/03,L,buy,22.38,2020-01-03,WEN
Walgreens Boots Alliance (WBA),01/03,D,sell,59.08,2020-01-03,WBA
ViacomCBS (VIAC),01/03,L,buy,41.45,2020-01-03,VIAC
Visa (V),01/03,D,buy,189.6,2020-01-03,V
US Bancorp (USB),01/03,L,buy,58.51,2020-01-03,USB
Target (TGT),01/03,D,buy,124.76,2020-01-03,TGT
Constellation Brands (STZ),01/03,D,negative,189.53,2020-01-03,STZ
Shake Shack (SHAK),01/03,L,positive,60.49,2020-01-03,SHAK
Starbucks (SBUX),01/03,L,buy,88.83,2020-01-03,SBUX
Procter & Gamble (PG),01/03,D,buy,122.58,2020-01-03,PG
Nike (NKE),01/03,D,buy,101.92,2020-01-03,NKE
L3Harris Technologies (LHX),01/06,D,buy,211.72,2020-01-06,LHX
Axon Enterprise (AAXN),01/06,I,buy,68.75,2020-01-06,AAXN
American Electric Power (AEP),01/06,D,buy,93.67,2020-01-06,AEP
Amarin (AMRN),01/06,L,buy,21.23,2020-01-06,AMRN
CrowdStrike (CRWD),01/06,D,buy,55.11,2020-01-06,CRWD
Dominion Energy (D),01/06,D,buy,82.39,2020-01-06,D
MarketAxess (MKTX),01/06,L,buy,374.08,2020-01-06,MKTX
Nokia (NOK),01/06,L,positive,3.94,2020-01-06,NOK
Natera (NTRA),01/06,L,buy,33.77,2020-01-06,NTRA
Nordstrom (JWN),01/06,D,buy,40.98,2020-01-06,JWN
Pioneer Natural Resources (PXD),01/06,D,buy,158.11,2020-01-06,PXD
Roku (ROKU),01/06,L,positive,143.37,2020-01-06,ROKU
Kohl's (KSS),01/06,D,buy,50.06,2020-01-06,KSS
Schlumberger (SLB),01/06,D,buy,40.82,2020-01-06,SLB
AT&T (T),01/06,L,buy,39.1,2020-01-06,T
Tesla (TSLA),01/06,L,buy,451.54,2020-01-06,TSLA
Barrick Gold (GOLD),01/06,D,buy,18.39,2020-01-06,GOLD
SPDR Gold Shares (GLD),01/06,D,buy,147.39,2020-01-06,GLD
Enphase Energy (ENPH),01/06,L,negative,29.66,2020-01-06,ENPH
Consolidated Edison (ED),01/06,D,buy,88.34,2020-01-06,ED
Snap (SNAP),01/06,L,positive,16.78,2020-01-06,SNAP
Planet Fitness (PLNT),01/06,I,buy,75.04,2020-01-06,PLNT
Advanced Micro Devices (AMD),01/07,D,positive,48.25,2020-01-07,AMD
Nio (NIO),01/07,L,sell,3.24,2020-01-07,NIO
IVERIC bio (ISEE),01/07,L,positive,8.44,2020-01-07,ISEE
Columbia Sportswear (COLM),01/07,F,buy,100.33,2020-01-07,COLM
Nike (NKE),01/07,F,buy,101.78,2020-01-07,NKE
Pennsylvania Real Estate  (PEI),01/07,L,sell,5.01,2020-01-07,PEI
Tesla (TSLA),01/07,F,buy,469.06,2020-01-07,TSLA
Under Armour (UAA),01/07,F,negative,20.7,2020-01-07,UAA
Chewy (CHWY),01/07,L,buy,29.2,2020-01-07,CHWY
Alibaba (BABA),01/07,L,buy,217.63,2020-01-07,BABA
Microchip Technology (MCHP),01/07,D,positive,110.69,2020-01-07,MCHP
American Tower (AMT),01/07,L,buy,223.68,2020-01-07,AMT
Mattel (MAT),01/07,L,buy,14.18,2020-01-07,MAT
Automatic Data Processing (ADP),01/08,D,buy,169.71,2020-01-08,ADP
Apellis Pharmaceuticals (APLS),01/08,L,negative,39.14,2020-01-08,APLS
American Express (AXP),01/08,D,buy,125.54,2020-01-08,AXP
Alibaba (BABA),01/08,L,buy,218.0,2020-01-08,BABA
Chewy (CHWY),01/08,D,buy,28.62,2020-01-08,CHWY
Core Labs (CLB),01/08,F,negative,40.2,2020-01-08,CLB
Cloudera (CLDR),01/08,L,positive,11.98,2020-01-08,CLDR
Covetrus (CVET),01/08,D,negative,13.6,2020-01-08,CVET
Apple (AAPL),01/08,D,buy,303.19,2020-01-08,AAPL
Tesla (TSLA),01/08,D,buy,492.14,2020-01-08,TSLA
Karuna Therapeutics (KRTX),01/08,L,negative,71.37,2020-01-08,KRTX
Lennar (LEN),01/08,D,buy,57.59,2020-01-08,LEN
Macy's (M),01/08,D,positive,18.1,2020-01-08,M
Cloudflare (NET),01/08,L,sell,17.78,2020-01-08,NET
Pet IQ (PETQ),01/08,D,negative,24.35,2020-01-08,PETQ
Pinterest (PINS),01/08,L,negative,19.72,2020-01-08,PINS
Sea Limited (SE),01/08,M,sell,40.16,2020-01-08,SE
Constellation Brands (STZ),01/08,I,buy,190.29,2020-01-08,STZ
Teladoc (TDOC),01/08,L,buy,86.22,2020-01-08,TDOC
Twitter (TWTR),01/08,L,buy,33.05,2020-01-08,TWTR
Uber (UBER),01/08,L,negative,33.93,2020-01-08,UBER
Veeva Systems (VEEV),01/08,L,buy,141.7,2020-01-08,VEEV
Elanco Animal Health (ELAN),01/08,D,buy,28.56,2020-01-08,ELAN
Facebook (FB),01/08,L,buy,215.22,2020-01-08,FB
Tyson Foods (TSN),01/09,F,buy,89.21,2020-01-09,TSN
Toll Brothers (TOL),01/09,D,buy,41.06,2020-01-09,TOL
Apple (AAPL),01/09,D,buy,309.63,2020-01-09,AAPL
Teva Pharmaceuticals (TEVA),01/09,L,sell,9.02,2020-01-09,TEVA
Starbucks (SBUX),01/09,L,buy,90.53,2020-01-09,SBUX
Maxar Technologies (MAXR),01/09,L,positive,18.86,2020-01-09,MAXR
EPR Properties (EPR),01/09,L,buy,70.15,2020-01-09,EPR
Cronos Group (CRON),01/09,L,sell,7.05,2020-01-09,CRON
Lennar (LEN),01/09,D,buy,57.69,2020-01-09,LEN
Canopy Growth (CGC),01/09,L,positive,20.8,2020-01-09,CGC
Bristol-Myers Squibb (BMY),01/09,L,buy,65.45,2020-01-09,BMY
Ballard Power Systems (BLDP),01/09,L,sell,8.59,2020-01-09,BLDP
Bed Bath & Beyond (BBBY),01/09,F,buy,13.45,2020-01-09,BBBY
CyrusOne (CONE),01/09,L,buy,65.52,2020-01-09,CONE
PPG Industries (PPG),01/10,D,buy,128.09,2020-01-10,PPG
MKS Instruments (MKSI),01/10,L,buy,107.66,2020-01-10,MKSI
Morgan Stanley (MS),01/10,D,positive,52.21,2020-01-10,MS
Invitae (NVTA),01/10,L,buy,16.72,2020-01-10,NVTA
Parsley Energy (PE),01/10,I,buy,18.13,2020-01-10,PE
REGENXBIO (RGNX),01/10,L,negative,44.88,2020-01-10,RGNX
Wells Fargo (WFC),01/10,D,positive,52.5,2020-01-10,WFC
TG Therapeutics (TGTX),01/10,L,buy,13.18,2020-01-10,TGTX
UnitedHealth Group (UNH),01/10,D,buy,295.13,2020-01-10,UNH
Vertex Pharmaceuticals (VRTX),01/10,L,buy,228.95,2020-01-10,VRTX
Ventas (VTR),01/10,L,negative,56.97,2020-01-10,VTR
Laredo Petroleum (LPI),01/10,L,sell,2.65,2020-01-10,LPI
Schlumberger (SLB),01/10,D,negative,39.83,2020-01-10,SLB
Kinder Morgan (KMI),01/10,L,positive,21.51,2020-01-10,KMI
JPMorgan Chase (JPM),01/10,D,positive,136.07,2020-01-10,JPM
CSX (CSX),01/10,D,buy,73.36,2020-01-10,CSX
Bank of America (BAC),01/10,D,positive,34.74,2020-01-10,BAC
Goldman Sachs (GS),01/10,D,positive,242.11,2020-01-10,GS
Tesla (TSLA),01/13,D,buy,524.86,2020-01-13,TSLA
Skyworks Solutions (SWKS),01/13,D,buy,124.51,2020-01-13,SWKS
NVIDIA (NVDA),01/13,D,buy,251.98,2020-01-13,NVDA
Lululemon Athletica (LULU),01/13,D,buy,245.18,2020-01-13,LULU
IBM (IBM),01/13,L,negative,136.6,2020-01-13,IBM
GlaxoSmithKline (GSK),01/13,I,buy,46.95,2020-01-13,GSK
First Horizon National (FHN),01/13,L,buy,16.24,2020-01-13,FHN
Chevron (CVX),01/13,L,positive,116.66,2020-01-13,CVX
CVS Health (CVS),01/13,I,buy,72.76,2020-01-13,CVS
Salesforce.com (CRM),01/13,D,buy,183.85,2020-01-13,CRM
Beyond Meat (BYND),01/13,D,buy,114.34,2020-01-13,BYND
Adobe Systems (ADBE),01/13,D,buy,345.63,2020-01-13,ADBE
Zoetis (ZTS),01/13,I,buy,136.51,2020-01-13,ZTS
Apple (AAPL),01/13,D,buy,316.96,2020-01-13,AAPL
Tandem Diabetes Care (TNDM),01/14,L,positive,67.35,2020-01-14,TNDM
AT&T (T),01/14,L,buy,38.09,2020-01-14,T
Sirius XM Radio (SIRI),01/14,L,positive,7.11,2020-01-14,SIRI
Revance Therapeutics (RVNC),01/14,L,positive,21.74,2020-01-14,RVNC
Park Hotels & Resorts (PK),01/14,L,sell,24.17,2020-01-14,PK
Medtronic (MDT),01/14,I,buy,117.04,2020-01-14,MDT
Dexcom (DXCM),01/14,I,buy,235.06,2020-01-14,DXCM
Dollar General (DG),01/14,L,buy,157.98,2020-01-14,DG
Berkshire Hathaway (BRK.B),01/14,L,buy,227.17,2020-01-14,BRK.B
Atkore International Grou (ATKR),01/14,L,buy,41.37,2020-01-14,ATKR
AbbVie (ABBV),01/14,L,buy,88.2,2020-01-14,ABBV
Verizon (VZ),01/14,L,buy,59.04,2020-01-14,VZ
LTC Properties (LTC),01/14,L,sell,45.69,2020-01-14,LTC
NextEra Energy (NEE),01/15,L,buy,251.58,2020-01-15,NEE
Honeywell (HON),01/15,D,buy,180.73,2020-01-15,HON
FedEx (FDX),01/15,D,positive,159.15,2020-01-15,FDX
Emerson Electric (EMR),01/15,D,buy,76.66,2020-01-15,EMR
CVS Health (CVS),01/15,D,buy,75.27,2020-01-15,CVS
Beyond Meat (BYND),01/15,D,negative,107.08,2020-01-15,BYND
BP (BP),01/15,L,sell,38.71,2020-01-15,BP
Bristol-Myers Squibb (BMY),01/15,L,buy,66.58,2020-01-15,BMY
Bank of America (BAC),01/15,D,buy,34.67,2020-01-15,BAC
AbbVie (ABBV),01/15,L,buy,89.26,2020-01-15,ABBV
Axon Enterprise (AAXN),01/15,L,buy,72.7,2020-01-15,AAXN
Pfizer (PFE),01/15,L,negative,40.67,2020-01-15,PFE
Royal Caribbean Cruises (RCL),01/15,L,buy,132.62,2020-01-15,RCL
Stitch Fix (SFIX),01/15,I,buy,24.65,2020-01-15,SFIX
Tellurian (TELL),01/15,D,buy,7.66,2020-01-15,TELL
Tesla (TSLA),01/15,D,negative,518.5,2020-01-15,TSLA
UnitedHealth Group (UNH),01/15,D,buy,296.41,2020-01-15,UNH
United Technologies (UTX),01/15,D,buy,151.96,2020-01-15,UTX
Viking Therapeutics (VKTX),01/15,L,sell,7.37,2020-01-15,VKTX
Wells Fargo (WFC),01/15,D,negative,48.32,2020-01-15,WFC
XPO Logistics (XPO),01/15,I,buy,82.82,2020-01-15,XPO
Microchip Technology (MCHP),01/15,L,positive,107.58,2020-01-15,MCHP
Moderna (MRNA),01/15,I,buy,20.24,2020-01-15,MRNA
The Trade Desk (TTD),01/16,L,buy,281.0,2020-01-16,TTD
Tesla (TSLA),01/16,D,positive,513.49,2020-01-16,TSLA
Adverum Biotechnologies (ADVM),01/16,L,buy,11.7,2020-01-16,ADVM
Advanced Micro Devices (AMD),01/16,D,positive,49.77,2020-01-16,AMD
Alibaba (BABA),01/16,L,buy,223.94,2020-01-16,BABA
BlackRock (BLK),01/16,D,buy,535.0,2020-01-16,BLK
GW Pharmaceuticals (GWPH),01/16,I,buy,119.12,2020-01-16,GWPH
Inogen (INGN),01/16,L,sell,51.79,2020-01-16,INGN
JD.com (JD),01/16,L,sell,39.56,2020-01-16,JD
Morgan Stanley (MS),01/16,D,buy,56.44,2020-01-16,MS
Microsoft (MSFT),01/16,I,buy,166.17,2020-01-16,MSFT
STAG Industrial (STAG),01/16,L,buy,32.33,2020-01-16,STAG
United Natural Foods (UNFI),01/21,F,sell,7.9,2020-01-21,UNFI
Uber (UBER),01/21,D,positive,37.6,2020-01-21,UBER
Tesla (TSLA),01/21,D,positive,547.2,2020-01-21,TSLA
Nokia (NOK),01/21,L,buy,4.13,2020-01-21,NOK
MagnaChip Semiconductor (MX),01/21,L,sell,15.33,2020-01-21,MX
Morgan Stanley (MS),01/21,D,positive,55.92,2020-01-21,MS
Box (BOX),01/21,L,negative,16.27,2020-01-21,BOX
Logitech International (LOGI),01/21,I,buy,47.79,2020-01-21,LOGI
Costco (COST),01/21,I,buy,313.26,2020-01-21,COST
Beyond Meat (BYND),01/21,D,positive,129.18,2020-01-21,BYND
Alibaba (BABA),01/21,L,buy,222.26,2020-01-21,BABA
Wendy's (WEN),01/21,L,buy,21.66,2020-01-21,WEN
Marriott International (MAR),01/21,D,negative,144.37,2020-01-21,MAR
Wynn Resorts (WYNN),01/22,D,negative,140.09,2020-01-22,WYNN
Tesla (TSLA),01/22,F,buy,569.56,2020-01-22,TSLA
Broadcom (AVGO),01/22,D,positive,312.88,2020-01-22,AVGO
Netflix (NFLX),01/22,D,positive,326.0,2020-01-22,NFLX
Apple (AAPL),01/22,D,positive,317.7,2020-01-22,AAPL
Brookfield Asset Manageme (BAM),01/22,L,buy,61.86,2020-01-22,BAM
Six Flags (SIX),01/22,L,sell,37.22,2020-01-22,SIX
Chimera Investment (CIM),01/22,L,sell,21.22,2020-01-22,CIM
Danaher (DHR),01/22,L,buy,163.77,2020-01-22,DHR
Energy Transfer (ET),01/22,L,sell,12.71,2020-01-22,ET
Bruker (BRKR),01/22,D,buy,53.19,2020-01-22,BRKR
InMode (INMD),01/22,D,buy,46.15,2020-01-22,INMD
Intuitive Surgical (ISRG),01/22,D,buy,610.24,2020-01-22,ISRG
L Brands (LB),01/22,L,sell,19.98,2020-01-22,LB
Las Vegas Sands (LVS),01/22,D,negative,69.45,2020-01-22,LVS
Marriott International (MAR),01/22,D,negative,144.12,2020-01-22,MAR
MGM Resorts (MGM),01/22,D,negative,31.95,2020-01-22,MGM
IBM (IBM),01/22,D,positive,143.89,2020-01-22,IBM
Grubhub (GRUB),01/23,I,buy,57.74,2020-01-23,GRUB
Western Digital (WDC),01/23,D,positive,70.93,2020-01-23,WDC
Snap (SNAP),01/23,F,buy,19.25,2020-01-23,SNAP
NVIDIA (NVDA),01/23,D,positive,252.86,2020-01-23,NVDA
Lattice Semiconductor (LSCC),01/23,L,buy,22.48,2020-01-23,LSCC
Intel (INTC),01/23,D,negative,63.32,2020-01-23,INTC
IHS Markit (INFO),01/23,L,buy,80.59,2020-01-23,INFO
First Horizon National (FHN),01/23,I,buy,17.02,2020-01-23,FHN
Republic Services (RSG),01/23,L,buy,94.41,2020-01-23,RSG
Broadcom (AVGO),01/23,D,positive,319.65,2020-01-23,AVGO
Apache (APA),01/23,L,sell,30.27,2020-01-23,APA
Apple (AAPL),01/23,D,positive,319.23,2020-01-23,AAPL
Cisco Systems (CSCO),01/23,L,buy,49.0,2020-01-23,CSCO
Apple (AAPL),01/24,D,buy,318.31,2020-01-24,AAPL
Advanced Micro Devices (AMD),01/24,D,buy,50.35,2020-01-24,AMD
American Express (AXP),01/24,L,buy,135.11,2020-01-24,AXP
Chevron (CVX),01/24,D,negative,111.85,2020-01-24,CVX
D R Horton (DHI),01/24,D,positive,58.51,2020-01-24,DHI
Everbridge (EVBG),01/24,M,positive,89.8,2020-01-24,EVBG
Facebook (FB),01/24,D,buy,217.94,2020-01-24,FB
First Horizon National (FHN),01/24,F,buy,16.55,2020-01-24,FHN
Boeing (BA),01/24,D,negative,323.05,2020-01-24,BA
HCA Healthcare (HCA),01/24,D,buy,143.45,2020-01-24,HCA
IVERIC bio (ISEE),01/24,M,sell,7.0,2020-01-24,ISEE
L Brands (LB),01/24,F,negative,20.74,2020-01-24,LB
Microsoft (MSFT),01/24,D,buy,165.04,2020-01-24,MSFT
Teledyne Technologies (TDY),01/24,L,buy,361.87,2020-01-24,TDY
United Technologies (UTX),01/24,D,positive,153.19,2020-01-24,UTX
Western Digital (WDC),01/24,D,buy,69.52,2020-01-24,WDC
Goldman Sachs (GS),01/24,D,buy,241.92,2020-01-24,GS
Exxon Mobil (XOM),01/24,D,negative,66.32,2020-01-24,XOM
3M (MMM),01/27,D,negative,175.63,2020-01-27,MMM
Moderna (MRNA),01/27,D,buy,22.74,2020-01-27,MRNA
Navient (NAVI),01/27,L,negative,14.77,2020-01-27,NAVI
Netflix (NFLX),01/27,D,buy,342.88,2020-01-27,NFLX
Natura & Co (NTCO),01/27,L,buy,22.3,2020-01-27,NTCO
Wynn Resorts (WYNN),01/27,D,negative,123.89,2020-01-27,WYNN
Starbucks (SBUX),01/27,D,negative,88.73,2020-01-27,SBUX
Wells Fargo (WFC),01/27,L,negative,47.1,2020-01-27,WFC
Yum China (YUMC),01/27,D,negative,41.92,2020-01-27,YUMC
Zynga (ZNGA),01/27,L,buy,5.93,2020-01-27,ZNGA
McCormick (MKC),01/27,D,buy,172.71,2020-01-27,MKC
Owens & Minor (OMI),01/27,D,buy,6.58,2020-01-27,OMI
Las Vegas Sands (LVS),01/27,D,negative,63.27,2020-01-27,LVS
Thermo Fisher Scientific (TMO),01/27,D,buy,330.96,2020-01-27,TMO
IMAX (IMAX),01/27,L,sell,17.21,2020-01-27,IMAX
Kinder Morgan (KMI),01/27,L,positive,21.29,2020-01-27,KMI
AbbVie (ABBV),01/27,D,buy,84.02,2020-01-27,ABBV
Adobe Systems (ADBE),01/27,F,buy,346.9,2020-01-27,ADBE
Caterpillar (CAT),01/27,D,negative,135.73,2020-01-27,CAT
Clorox (CLX),01/27,D,buy,159.96,2020-01-27,CLX
Bristol-Myers Squibb (BMY),01/27,D,buy,63.7,2020-01-27,BMY
Salesforce.com (CRM),01/27,F,buy,180.71,2020-01-27,CRM
3D Systems (DDD),01/27,L,sell,11.08,2020-01-27,DDD
Walt Disney (DIS),01/27,D,buy,135.9,2020-01-27,DIS
EPR Properties (EPR),01/27,L,buy,72.08,2020-01-27,EPR
HP (HPQ),01/27,L,buy,21.58,2020-01-27,HPQ
Comcast (CMCSA),01/27,D,buy,44.0,2020-01-27,CMCSA
Danaher (DHR),01/28,L,buy,163.76,2020-01-28,DHR
Apple (AAPL),01/28,D,buy,317.69,2020-01-28,AAPL
Adaptive Biotechnologies (ADPT),01/28,L,negative,31.09,2020-01-28,ADPT
Alteryx (AYX),01/28,L,buy,139.41,2020-01-28,AYX
Discover Financial Servic (DFS),01/28,L,sell,75.23,2020-01-28,DFS
Ford Motor (F),01/28,D,negative,8.97,2020-01-28,F
Thermo Fisher Scientific (TMO),01/28,L,buy,333.26,2020-01-28,TMO
iRobot (IRBT),01/28,L,sell,54.14,2020-01-28,IRBT
Madison Square Garden (MSG),01/28,F,negative,297.62,2020-01-28,MSG
Paycom Software (PAYC),01/28,L,buy,318.59,2020-01-28,PAYC
Starbucks (SBUX),01/28,D,buy,88.6,2020-01-28,SBUX
Tesla (TSLA),01/28,F,buy,566.9,2020-01-28,TSLA
United Technologies (UTX),01/28,F,buy,152.86,2020-01-28,UTX
General Motors (GM),01/28,D,negative,33.64,2020-01-28,GM
Twitter (TWTR),01/29,L,negative,33.63,2020-01-29,TWTR
AT&T (T),01/29,L,buy,37.05,2020-01-29,T
Shopify (SHOP),01/29,D,buy,471.67,2020-01-29,SHOP
Silicon Laboratories (SLAB),01/29,L,sell,102.76,2020-01-29,SLAB
Apple (AAPL),01/29,F,buy,324.34,2020-01-29,AAPL
Advanced Micro Devices (AMD),01/29,D,buy,47.51,2020-01-29,AMD
Stryker (SYK),01/29,I,buy,210.68,2020-01-29,SYK
Boeing (BA),01/29,D,positive,322.02,2020-01-29,BA
CVS Health (CVS),01/29,L,buy,70.55,2020-01-29,CVS
General Electric (GE),01/29,D,buy,12.94,2020-01-29,GE
Amarin (AMRN),01/29,L,buy,19.31,2020-01-29,AMRN
McDonald's (MCD),01/29,D,buy,214.44,2020-01-29,MCD
Penn National Gaming (PENN),01/29,I,buy,29.02,2020-01-29,PENN
Rite Aid (RAD),01/29,L,sell,11.99,2020-01-29,RAD
Roku (ROKU),01/29,D,positive,128.88,2020-01-29,ROKU
Starbucks (SBUX),01/29,D,buy,86.72,2020-01-29,SBUX
Sprouts Farmers Market (SFM),01/29,L,sell,15.71,2020-01-29,SFM
LyondellBasell Industries (LYB),01/29,L,buy,83.85,2020-01-29,LYB
Netflix (NFLX),01/30,D,positive,347.74,2020-01-30,NFLX
Vertex Pharmaceuticals (VRTX),01/30,L,buy,230.31,2020-01-30,VRTX
United Parcel Service (UPS),01/30,D,positive,108.0,2020-01-30,UPS
UnitedHealth Group (UNH),01/30,L,buy,280.98,2020-01-30,UNH
Tesla (TSLA),01/30,F,buy,640.81,2020-01-30,TSLA
Southern Company (SO),01/30,L,negative,70.85,2020-01-30,SO
Renewable Energy Group (REGI),01/30,L,positive,26.0,2020-01-30,REGI
Microsoft (MSFT),01/30,D,buy,172.78,2020-01-30,MSFT
Texas Capital BancShares (TCBI),01/30,I,buy,55.42,2020-01-30,TCBI
Nordstrom (JWN),01/30,L,sell,38.67,2020-01-30,JWN
Independent Bank Group (IBTX),01/30,I,buy,54.22,2020-01-30,IBTX
Facebook (FB),01/30,D,negative,209.53,2020-01-30,FB
Dominion Energy (D),01/30,L,negative,86.48,2020-01-30,D
Mondelez International (MDLZ),01/30,D,buy,58.8,2020-01-30,MDLZ
Costco (COST),01/30,L,buy,309.47,2020-01-30,COST
Clean Harbors (CLH),01/30,L,buy,85.38,2020-01-30,CLH
Bristol-Myers Squibb (BMY),01/30,F,buy,63.81,2020-01-30,BMY
AbbVie (ABBV),01/30,F,buy,81.78,2020-01-30,ABBV
Merck (MRK),01/31,D,positive,85.44,2020-01-31,MRK
Anaplan (PLAN),01/31,L,buy,57.59,2020-01-31,PLAN
Peloton (PTON),01/31,L,positive,32.36,2020-01-31,PTON
Royal Caribbean Cruises (RCL),01/31,D,sell,117.08,2020-01-31,RCL
Exxon Mobil (XOM),01/31,D,sell,62.12,2020-01-31,XOM
Square (SQ),01/31,D,buy,74.69,2020-01-31,SQ
Tesla (TSLA),01/31,D,buy,650.57,2020-01-31,TSLA
Luckin Coffee (LK),01/31,L,sell,32.49,2020-01-31,LK
JM Smucker (SJM),01/31,D,buy,103.61,2020-01-31,SJM
Inseego (INSG),01/31,L,negative,6.71,2020-01-31,INSG
Yum China (YUMC),01/31,D,sell,43.07,2020-01-31,YUMC
General Motors (GM),01/31,D,negative,33.39,2020-01-31,GM
Great Lakes Dredge & Dock (GLDD),01/31,L,buy,10.47,2020-01-31,GLDD
Emerson Electric (EMR),01/31,D,positive,71.63,2020-01-31,EMR
Estee Lauder (EL),01/31,D,negative,195.16,2020-01-31,EL
eBay (EBAY),01/31,L,sell,33.56,2020-01-31,EBAY
Walt Disney (DIS),01/31,D,negative,138.31,2020-01-31,DIS
Clorox (CLX),01/31,D,buy,157.31,2020-01-31,CLX
Bristol-Myers Squibb (BMY),01/31,D,buy,62.95,2020-01-31,BMY
AbbVie (ABBV),01/31,D,buy,81.02,2020-01-31,ABBV
Grubhub (GRUB),01/31,D,buy,54.15,2020-01-31,GRUB
Zoom Video Communications (ZM),02/03,I,buy,87.66,2020-02-03,ZM
Exxon Mobil (XOM),02/03,F,sell,60.73,2020-02-03,XOM
Wingstop (WING),02/03,L,buy,92.22,2020-02-03,WING
The Trade Desk (TTD),02/03,F,buy,274.02,2020-02-03,TTD
STORE Capital (STOR),02/03,L,sell,39.43,2020-02-03,STOR
Simon Property Group (SPG),02/03,L,buy,132.8,2020-02-03,SPG
Tesla (TSLA),02/03,F,buy,780.0,2020-02-03,TSLA
Avita Medical (RCEL),02/03,L,buy,9.13,2020-02-03,RCEL
Okta (OKTA),02/03,L,buy,129.35,2020-02-03,OKTA
Micron Technology (MU),02/03,L,buy,53.78,2020-02-03,MU
Morgan Stanley (MS),02/03,L,buy,52.6,2020-02-03,MS
Enphase Energy (ENPH),02/03,L,positive,32.92,2020-02-03,ENPH
Apple (AAPL),02/03,D,buy,308.66,2020-02-03,AAPL
Roku (ROKU),02/03,F,buy,127.5,2020-02-03,ROKU
AbbVie (ABBV),02/04,L,buy,84.36,2020-02-04,ABBV
Chipotle Mexican Grill (CMG),02/04,I,buy,884.82,2020-02-04,CMG
Centene (CNC),02/04,I,buy,61.97,2020-02-04,CNC
CEL-SCI (CVM),02/04,L,buy,14.46,2020-02-04,CVM
CVS Health (CVS),02/04,L,positive,67.88,2020-02-04,CVS
1-800-Flowers (FLWS),02/04,L,positive,15.73,2020-02-04,FLWS
Virgin Galactic (SPCE),02/04,L,negative,19.69,2020-02-04,SPCE
Nike (NKE),02/04,D,buy,101.38,2020-02-04,NKE
Ralph Lauren (RL),02/04,D,buy,123.68,2020-02-04,RL
Teladoc (TDOC),02/04,L,buy,107.15,2020-02-04,TDOC
Tesla (TSLA),02/04,D,buy,887.06,2020-02-04,TSLA
Wynn Resorts (WYNN),02/04,D,buy,132.7,2020-02-04,WYNN
Aimmune Therapeutics (AIMT),02/04,L,negative,29.37,2020-02-04,AIMT
Lockheed Martin (LMT),02/04,L,buy,430.78,2020-02-04,LMT
Clorox (CLX),02/04,D,buy,163.62,2020-02-04,CLX
Builders FirstSource (BLDR),02/05,L,buy,26.1,2020-02-05,BLDR
Tyson Foods (TSN),02/05,L,buy,84.11,2020-02-05,TSN
Bill.com (BILL),02/05,L,buy,49.64,2020-02-05,BILL
Walgreens Boots Alliance (WBA),02/05,L,sell,52.98,2020-02-05,WBA
Berkshire Hathaway (BRK.B),02/05,L,buy,228.65,2020-02-05,BRK.B
Clorox (CLX),02/05,I,buy,165.34,2020-02-05,CLX
Boot Barn (BOOT),02/05,I,buy,38.1,2020-02-05,BOOT
Iridium Communications (IRDM),02/05,L,buy,28.41,2020-02-05,IRDM
Oracle (ORCL),02/05,L,negative,54.74,2020-02-05,ORCL
Teladoc (TDOC),02/05,I,buy,107.06,2020-02-05,TDOC
Tesla (TSLA),02/05,F,buy,734.7,2020-02-05,TSLA
CVS Health (CVS),02/05,L,buy,70.54,2020-02-05,CVS
Crown Castle (CCI),02/06,L,buy,150.5,2020-02-06,CCI
CIGNA (CI),02/06,I,buy,211.86,2020-02-06,CI
